INPUT_TABLE
Variable ID
OutputDriver_Ag

region,AgSupplySector,AgSupplySubsector,AgProductionTechnology,year,generic.ghg
Africa,FodderHerb,FodderHerbAEZ01,FodderHerbAEZ01,1975,CH4_AWB
Africa,MiscCrop,MiscCropAEZ01,MiscCropAEZ01,1975,CH4_AWB
Africa,OilCrop,OilCropAEZ01,OilCropAEZ01,1975,CH4_AWB
Africa,OtherGrain,OtherGrainAEZ01,OtherGrainAEZ01,1975,CH4_AWB
Africa,PalmFruit,PalmFruitAEZ01,PalmFruitAEZ01,1975,CH4_AWB
Africa,Rice,RiceAEZ01,RiceAEZ01,1975,CH4_AWB
Africa,Root_Tuber,Root_TuberAEZ01,Root_TuberAEZ01,1975,CH4_AWB
Africa,SugarCrop,SugarCropAEZ01,SugarCropAEZ01,1975,CH4_AWB
Africa,Wheat,WheatAEZ01,WheatAEZ01,1975,CH4_AWB
Africa,Corn,CornAEZ01,CornAEZ01,1975,N2O_AWB
Africa,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,1975,N2O_AWB
Africa,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,1975,N2O_AWB
Africa,FodderHerb,FodderHerbAEZ01,FodderHerbAEZ01,1975,N2O_AWB
Africa,MiscCrop,MiscCropAEZ01,MiscCropAEZ01,1975,N2O_AWB
Africa,OilCrop,OilCropAEZ01,OilCropAEZ01,1975,N2O_AWB
Africa,OtherGrain,OtherGrainAEZ01,OtherGrainAEZ01,1975,N2O_AWB
Africa,PalmFruit,PalmFruitAEZ01,PalmFruitAEZ01,1975,N2O_AWB
Africa,Rice,RiceAEZ01,RiceAEZ01,1975,N2O_AWB
Africa,Root_Tuber,Root_TuberAEZ01,Root_TuberAEZ01,1975,N2O_AWB
Africa,SugarCrop,SugarCropAEZ01,SugarCropAEZ01,1975,N2O_AWB
Africa,Wheat,WheatAEZ01,WheatAEZ01,1975,N2O_AWB
Africa,Corn,CornAEZ01,CornAEZ01,1975,NOx_AWB
Africa,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,1975,NOx_AWB
Africa,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,1975,NOx_AWB
Africa,FodderHerb,FodderHerbAEZ01,FodderHerbAEZ01,1975,NOx_AWB
Africa,MiscCrop,MiscCropAEZ01,MiscCropAEZ01,1975,NOx_AWB
Africa,OilCrop,OilCropAEZ01,OilCropAEZ01,1975,NOx_AWB
Africa,OtherGrain,OtherGrainAEZ01,OtherGrainAEZ01,1975,NOx_AWB
Africa,PalmFruit,PalmFruitAEZ01,PalmFruitAEZ01,1975,NOx_AWB
Africa,Rice,RiceAEZ01,RiceAEZ01,1975,NOx_AWB
Africa,Root_Tuber,Root_TuberAEZ01,Root_TuberAEZ01,1975,NOx_AWB
Africa,SugarCrop,SugarCropAEZ01,SugarCropAEZ01,1975,NOx_AWB
Africa,Wheat,WheatAEZ01,WheatAEZ01,1975,NOx_AWB
Africa,Corn,CornAEZ01,CornAEZ01,1975,CO_AWB
Africa,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,1975,CO_AWB
Africa,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,1975,CO_AWB
Africa,FodderHerb,FodderHerbAEZ01,FodderHerbAEZ01,1975,CO_AWB
Africa,MiscCrop,MiscCropAEZ01,MiscCropAEZ01,1975,CO_AWB
Africa,OilCrop,OilCropAEZ01,OilCropAEZ01,1975,CO_AWB
Africa,OtherGrain,OtherGrainAEZ01,OtherGrainAEZ01,1975,CO_AWB
Africa,PalmFruit,PalmFruitAEZ01,PalmFruitAEZ01,1975,CO_AWB
Africa,Rice,RiceAEZ01,RiceAEZ01,1975,CO_AWB
Africa,Root_Tuber,Root_TuberAEZ01,Root_TuberAEZ01,1975,CO_AWB
Africa,SugarCrop,SugarCropAEZ01,SugarCropAEZ01,1975,CO_AWB
Africa,Wheat,WheatAEZ01,WheatAEZ01,1975,CO_AWB
Africa,Corn,CornAEZ01,CornAEZ01,1975,NMVOC_AWB
Africa,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,1975,NMVOC_AWB
Africa,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,1975,NMVOC_AWB
Africa,FodderHerb,FodderHerbAEZ01,FodderHerbAEZ01,1975,NMVOC_AWB
Africa,MiscCrop,MiscCropAEZ01,MiscCropAEZ01,1975,NMVOC_AWB
Africa,OilCrop,OilCropAEZ01,OilCropAEZ01,1975,NMVOC_AWB
Africa,OtherGrain,OtherGrainAEZ01,OtherGrainAEZ01,1975,NMVOC_AWB
Africa,PalmFruit,PalmFruitAEZ01,PalmFruitAEZ01,1975,NMVOC_AWB
Africa,Rice,RiceAEZ01,RiceAEZ01,1975,NMVOC_AWB
Africa,Root_Tuber,Root_TuberAEZ01,Root_TuberAEZ01,1975,NMVOC_AWB
Africa,SugarCrop,SugarCropAEZ01,SugarCropAEZ01,1975,NMVOC_AWB
Africa,Wheat,WheatAEZ01,WheatAEZ01,1975,NMVOC_AWB
Africa,Corn,CornAEZ01,CornAEZ01,1975,NH3_AWB
Africa,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,1975,NH3_AWB
Africa,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,1975,NH3_AWB
Africa,FodderHerb,FodderHerbAEZ01,FodderHerbAEZ01,1975,NH3_AWB
Africa,MiscCrop,MiscCropAEZ01,MiscCropAEZ01,1975,NH3_AWB
Africa,OilCrop,OilCropAEZ01,OilCropAEZ01,1975,NH3_AWB
Africa,OtherGrain,OtherGrainAEZ01,OtherGrainAEZ01,1975,NH3_AWB
Africa,PalmFruit,PalmFruitAEZ01,PalmFruitAEZ01,1975,NH3_AWB
Africa,Rice,RiceAEZ01,RiceAEZ01,1975,NH3_AWB
Africa,Root_Tuber,Root_TuberAEZ01,Root_TuberAEZ01,1975,NH3_AWB
Africa,SugarCrop,SugarCropAEZ01,SugarCropAEZ01,1975,NH3_AWB
Africa,Wheat,WheatAEZ01,WheatAEZ01,1975,NH3_AWB
Africa,Corn,CornAEZ01,CornAEZ01,1975,BC_AWB
Africa,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,1975,BC_AWB
Africa,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,1975,BC_AWB
Africa,FodderHerb,FodderHerbAEZ01,FodderHerbAEZ01,1975,BC_AWB
Africa,MiscCrop,MiscCropAEZ01,MiscCropAEZ01,1975,BC_AWB
Africa,OilCrop,OilCropAEZ01,OilCropAEZ01,1975,BC_AWB
Africa,OtherGrain,OtherGrainAEZ01,OtherGrainAEZ01,1975,BC_AWB
Africa,PalmFruit,PalmFruitAEZ01,PalmFruitAEZ01,1975,BC_AWB
Africa,Rice,RiceAEZ01,RiceAEZ01,1975,BC_AWB
Africa,Root_Tuber,Root_TuberAEZ01,Root_TuberAEZ01,1975,BC_AWB
Africa,SugarCrop,SugarCropAEZ01,SugarCropAEZ01,1975,BC_AWB
Africa,Wheat,WheatAEZ01,WheatAEZ01,1975,BC_AWB
Africa,Corn,CornAEZ01,CornAEZ01,1975,OC_AWB
Africa,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,1975,OC_AWB
Africa,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,1975,OC_AWB
Africa,FodderHerb,FodderHerbAEZ01,FodderHerbAEZ01,1975,OC_AWB
Africa,MiscCrop,MiscCropAEZ01,MiscCropAEZ01,1975,OC_AWB
Africa,OilCrop,OilCropAEZ01,OilCropAEZ01,1975,OC_AWB
Africa,OtherGrain,OtherGrainAEZ01,OtherGrainAEZ01,1975,OC_AWB
Africa,PalmFruit,PalmFruitAEZ01,PalmFruitAEZ01,1975,OC_AWB
Africa,Rice,RiceAEZ01,RiceAEZ01,1975,OC_AWB
Africa,Root_Tuber,Root_TuberAEZ01,Root_TuberAEZ01,1975,OC_AWB
Africa,SugarCrop,SugarCropAEZ01,SugarCropAEZ01,1975,OC_AWB
Africa,Wheat,WheatAEZ01,WheatAEZ01,1975,OC_AWB
Africa,Corn,CornAEZ01,CornAEZ01,1975,SO2_3_AWB
Africa,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,1975,SO2_3_AWB
Africa,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,1975,SO2_3_AWB
Africa,FodderHerb,FodderHerbAEZ01,FodderHerbAEZ01,1975,SO2_3_AWB
Africa,MiscCrop,MiscCropAEZ01,MiscCropAEZ01,1975,SO2_3_AWB
Africa,OilCrop,OilCropAEZ01,OilCropAEZ01,1975,SO2_3_AWB
Africa,OtherGrain,OtherGrainAEZ01,OtherGrainAEZ01,1975,SO2_3_AWB
Africa,PalmFruit,PalmFruitAEZ01,PalmFruitAEZ01,1975,SO2_3_AWB
Africa,Rice,RiceAEZ01,RiceAEZ01,1975,SO2_3_AWB
Africa,Root_Tuber,Root_TuberAEZ01,Root_TuberAEZ01,1975,SO2_3_AWB
Africa,SugarCrop,SugarCropAEZ01,SugarCropAEZ01,1975,SO2_3_AWB
Africa,Wheat,WheatAEZ01,WheatAEZ01,1975,SO2_3_AWB
Australia_NZ,Rice,RiceAEZ01,RiceAEZ01,1975,CH4_AGR
Australia_NZ,Corn,CornAEZ01,CornAEZ01,1975,N2O_AGR
Australia_NZ,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,1975,N2O_AGR
Australia_NZ,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,1975,N2O_AGR
Australia_NZ,FodderHerb,FodderHerbAEZ01,FodderHerbAEZ01,1975,N2O_AGR
Australia_NZ,MiscCrop,MiscCropAEZ01,MiscCropAEZ01,1975,N2O_AGR
Australia_NZ,OilCrop,OilCropAEZ01,OilCropAEZ01,1975,N2O_AGR
Australia_NZ,OtherGrain,OtherGrainAEZ01,OtherGrainAEZ01,1975,N2O_AGR
Australia_NZ,PalmFruit,PalmFruitAEZ01,PalmFruitAEZ01,1975,N2O_AGR
Australia_NZ,Rice,RiceAEZ01,RiceAEZ01,1975,N2O_AGR
Australia_NZ,Root_Tuber,Root_TuberAEZ01,Root_TuberAEZ01,1975,N2O_AGR
Australia_NZ,SugarCrop,SugarCropAEZ01,SugarCropAEZ01,1975,N2O_AGR
Australia_NZ,Wheat,WheatAEZ01,WheatAEZ01,1975,N2O_AGR
Australia_NZ,biomass,biomassAEZ01,biomassAEZ01,1975,N2O_AGR
Australia_NZ,Corn,CornAEZ01,CornAEZ01,1975,NOx_AGR
Australia_NZ,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,1975,NOx_AGR
Australia_NZ,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,1975,NOx_AGR
Australia_NZ,FodderHerb,FodderHerbAEZ01,FodderHerbAEZ01,1975,NOx_AGR
Australia_NZ,MiscCrop,MiscCropAEZ01,MiscCropAEZ01,1975,NOx_AGR
Australia_NZ,OilCrop,OilCropAEZ01,OilCropAEZ01,1975,NOx_AGR
Australia_NZ,OtherGrain,OtherGrainAEZ01,OtherGrainAEZ01,1975,NOx_AGR
Australia_NZ,PalmFruit,PalmFruitAEZ01,PalmFruitAEZ01,1975,NOx_AGR
Australia_NZ,Rice,RiceAEZ01,RiceAEZ01,1975,NOx_AGR
Australia_NZ,Root_Tuber,Root_TuberAEZ01,Root_TuberAEZ01,1975,NOx_AGR
Australia_NZ,SugarCrop,SugarCropAEZ01,SugarCropAEZ01,1975,NOx_AGR
Australia_NZ,Wheat,WheatAEZ01,WheatAEZ01,1975,NOx_AGR
Australia_NZ,Corn,CornAEZ01,CornAEZ01,1975,NMVOC_AGR
Australia_NZ,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,1975,NMVOC_AGR
Australia_NZ,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,1975,NMVOC_AGR
Australia_NZ,FodderHerb,FodderHerbAEZ01,FodderHerbAEZ01,1975,NMVOC_AGR
Australia_NZ,MiscCrop,MiscCropAEZ01,MiscCropAEZ01,1975,NMVOC_AGR
Australia_NZ,OilCrop,OilCropAEZ01,OilCropAEZ01,1975,NMVOC_AGR
Australia_NZ,OtherGrain,OtherGrainAEZ01,OtherGrainAEZ01,1975,NMVOC_AGR
Australia_NZ,PalmFruit,PalmFruitAEZ01,PalmFruitAEZ01,1975,NMVOC_AGR
Australia_NZ,Rice,RiceAEZ01,RiceAEZ01,1975,NMVOC_AGR
Australia_NZ,Root_Tuber,Root_TuberAEZ01,Root_TuberAEZ01,1975,NMVOC_AGR
Australia_NZ,SugarCrop,SugarCropAEZ01,SugarCropAEZ01,1975,NMVOC_AGR
Australia_NZ,Wheat,WheatAEZ01,WheatAEZ01,1975,NMVOC_AGR
Australia_NZ,Corn,CornAEZ01,CornAEZ01,1975,NH3_AGR
Australia_NZ,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,1975,NH3_AGR
Australia_NZ,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,1975,NH3_AGR
Australia_NZ,FodderHerb,FodderHerbAEZ01,FodderHerbAEZ01,1975,NH3_AGR
Australia_NZ,MiscCrop,MiscCropAEZ01,MiscCropAEZ01,1975,NH3_AGR
Australia_NZ,OilCrop,OilCropAEZ01,OilCropAEZ01,1975,NH3_AGR
Australia_NZ,OtherGrain,OtherGrainAEZ01,OtherGrainAEZ01,1975,NH3_AGR
Australia_NZ,PalmFruit,PalmFruitAEZ01,PalmFruitAEZ01,1975,NH3_AGR
Australia_NZ,Rice,RiceAEZ01,RiceAEZ01,1975,NH3_AGR
Australia_NZ,Root_Tuber,Root_TuberAEZ01,Root_TuberAEZ01,1975,NH3_AGR
Australia_NZ,SugarCrop,SugarCropAEZ01,SugarCropAEZ01,1975,NH3_AGR
Australia_NZ,Wheat,WheatAEZ01,WheatAEZ01,1975,NH3_AGR
Australia_NZ,Corn,CornAEZ01,CornAEZ01,1975,CH4_AWB
Australia_NZ,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,1975,CH4_AWB
Australia_NZ,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,1975,CH4_AWB
Australia_NZ,FodderHerb,FodderHerbAEZ01,FodderHerbAEZ01,1975,CH4_AWB
Australia_NZ,MiscCrop,MiscCropAEZ01,MiscCropAEZ01,1975,CH4_AWB
Australia_NZ,OilCrop,OilCropAEZ01,OilCropAEZ01,1975,CH4_AWB
Australia_NZ,OtherGrain,OtherGrainAEZ01,OtherGrainAEZ01,1975,CH4_AWB
Australia_NZ,PalmFruit,PalmFruitAEZ01,PalmFruitAEZ01,1975,CH4_AWB
Australia_NZ,Rice,RiceAEZ01,RiceAEZ01,1975,CH4_AWB
Australia_NZ,Root_Tuber,Root_TuberAEZ01,Root_TuberAEZ01,1975,CH4_AWB
Australia_NZ,SugarCrop,SugarCropAEZ01,SugarCropAEZ01,1975,CH4_AWB
Australia_NZ,Wheat,WheatAEZ01,WheatAEZ01,1975,CH4_AWB
Australia_NZ,Corn,CornAEZ01,CornAEZ01,1975,N2O_AWB
Australia_NZ,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,1975,N2O_AWB
Australia_NZ,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,1975,N2O_AWB
Australia_NZ,FodderHerb,FodderHerbAEZ01,FodderHerbAEZ01,1975,N2O_AWB
Australia_NZ,MiscCrop,MiscCropAEZ01,MiscCropAEZ01,1975,N2O_AWB
Australia_NZ,OilCrop,OilCropAEZ01,OilCropAEZ01,1975,N2O_AWB
Australia_NZ,OtherGrain,OtherGrainAEZ01,OtherGrainAEZ01,1975,N2O_AWB
Australia_NZ,PalmFruit,PalmFruitAEZ01,PalmFruitAEZ01,1975,N2O_AWB
Australia_NZ,Rice,RiceAEZ01,RiceAEZ01,1975,N2O_AWB
Australia_NZ,Root_Tuber,Root_TuberAEZ01,Root_TuberAEZ01,1975,N2O_AWB
Australia_NZ,SugarCrop,SugarCropAEZ01,SugarCropAEZ01,1975,N2O_AWB
Australia_NZ,Wheat,WheatAEZ01,WheatAEZ01,1975,N2O_AWB
Australia_NZ,Corn,CornAEZ01,CornAEZ01,1975,NOx_AWB
Australia_NZ,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,1975,NOx_AWB
Australia_NZ,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,1975,NOx_AWB
Australia_NZ,FodderHerb,FodderHerbAEZ01,FodderHerbAEZ01,1975,NOx_AWB
Australia_NZ,MiscCrop,MiscCropAEZ01,MiscCropAEZ01,1975,NOx_AWB
Australia_NZ,OilCrop,OilCropAEZ01,OilCropAEZ01,1975,NOx_AWB
Australia_NZ,OtherGrain,OtherGrainAEZ01,OtherGrainAEZ01,1975,NOx_AWB
Australia_NZ,PalmFruit,PalmFruitAEZ01,PalmFruitAEZ01,1975,NOx_AWB
Australia_NZ,Rice,RiceAEZ01,RiceAEZ01,1975,NOx_AWB
Australia_NZ,Root_Tuber,Root_TuberAEZ01,Root_TuberAEZ01,1975,NOx_AWB
Australia_NZ,SugarCrop,SugarCropAEZ01,SugarCropAEZ01,1975,NOx_AWB
Australia_NZ,Wheat,WheatAEZ01,WheatAEZ01,1975,NOx_AWB
Australia_NZ,Corn,CornAEZ01,CornAEZ01,1975,CO_AWB
Australia_NZ,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,1975,CO_AWB
Australia_NZ,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,1975,CO_AWB
Australia_NZ,FodderHerb,FodderHerbAEZ01,FodderHerbAEZ01,1975,CO_AWB
Australia_NZ,MiscCrop,MiscCropAEZ01,MiscCropAEZ01,1975,CO_AWB
Australia_NZ,OilCrop,OilCropAEZ01,OilCropAEZ01,1975,CO_AWB
Australia_NZ,OtherGrain,OtherGrainAEZ01,OtherGrainAEZ01,1975,CO_AWB
Australia_NZ,PalmFruit,PalmFruitAEZ01,PalmFruitAEZ01,1975,CO_AWB
Australia_NZ,Rice,RiceAEZ01,RiceAEZ01,1975,CO_AWB
Australia_NZ,Root_Tuber,Root_TuberAEZ01,Root_TuberAEZ01,1975,CO_AWB
Australia_NZ,SugarCrop,SugarCropAEZ01,SugarCropAEZ01,1975,CO_AWB
Australia_NZ,Wheat,WheatAEZ01,WheatAEZ01,1975,CO_AWB
Australia_NZ,Corn,CornAEZ01,CornAEZ01,1975,NMVOC_AWB
Australia_NZ,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,1975,NMVOC_AWB
Australia_NZ,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,1975,NMVOC_AWB
Australia_NZ,FodderHerb,FodderHerbAEZ01,FodderHerbAEZ01,1975,NMVOC_AWB
Australia_NZ,MiscCrop,MiscCropAEZ01,MiscCropAEZ01,1975,NMVOC_AWB
Australia_NZ,OilCrop,OilCropAEZ01,OilCropAEZ01,1975,NMVOC_AWB
Australia_NZ,OtherGrain,OtherGrainAEZ01,OtherGrainAEZ01,1975,NMVOC_AWB
Australia_NZ,PalmFruit,PalmFruitAEZ01,PalmFruitAEZ01,1975,NMVOC_AWB
Australia_NZ,Rice,RiceAEZ01,RiceAEZ01,1975,NMVOC_AWB
Australia_NZ,Root_Tuber,Root_TuberAEZ01,Root_TuberAEZ01,1975,NMVOC_AWB
Australia_NZ,SugarCrop,SugarCropAEZ01,SugarCropAEZ01,1975,NMVOC_AWB
Australia_NZ,Wheat,WheatAEZ01,WheatAEZ01,1975,NMVOC_AWB
Australia_NZ,Corn,CornAEZ01,CornAEZ01,1975,NH3_AWB
Australia_NZ,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,1975,NH3_AWB
Australia_NZ,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,1975,NH3_AWB
Australia_NZ,FodderHerb,FodderHerbAEZ01,FodderHerbAEZ01,1975,NH3_AWB
Australia_NZ,MiscCrop,MiscCropAEZ01,MiscCropAEZ01,1975,NH3_AWB
Australia_NZ,OilCrop,OilCropAEZ01,OilCropAEZ01,1975,NH3_AWB
Australia_NZ,OtherGrain,OtherGrainAEZ01,OtherGrainAEZ01,1975,NH3_AWB
Australia_NZ,PalmFruit,PalmFruitAEZ01,PalmFruitAEZ01,1975,NH3_AWB
Australia_NZ,Rice,RiceAEZ01,RiceAEZ01,1975,NH3_AWB
Australia_NZ,Root_Tuber,Root_TuberAEZ01,Root_TuberAEZ01,1975,NH3_AWB
Australia_NZ,SugarCrop,SugarCropAEZ01,SugarCropAEZ01,1975,NH3_AWB
Australia_NZ,Wheat,WheatAEZ01,WheatAEZ01,1975,NH3_AWB
Australia_NZ,Corn,CornAEZ01,CornAEZ01,1975,BC_AWB
Australia_NZ,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,1975,BC_AWB
Australia_NZ,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,1975,BC_AWB
Australia_NZ,FodderHerb,FodderHerbAEZ01,FodderHerbAEZ01,1975,BC_AWB
Australia_NZ,MiscCrop,MiscCropAEZ01,MiscCropAEZ01,1975,BC_AWB
Australia_NZ,OilCrop,OilCropAEZ01,OilCropAEZ01,1975,BC_AWB
Australia_NZ,OtherGrain,OtherGrainAEZ01,OtherGrainAEZ01,1975,BC_AWB
Australia_NZ,PalmFruit,PalmFruitAEZ01,PalmFruitAEZ01,1975,BC_AWB
Australia_NZ,Rice,RiceAEZ01,RiceAEZ01,1975,BC_AWB
Australia_NZ,Root_Tuber,Root_TuberAEZ01,Root_TuberAEZ01,1975,BC_AWB
Australia_NZ,SugarCrop,SugarCropAEZ01,SugarCropAEZ01,1975,BC_AWB
Australia_NZ,Wheat,WheatAEZ01,WheatAEZ01,1975,BC_AWB
Australia_NZ,Corn,CornAEZ01,CornAEZ01,1975,OC_AWB
Australia_NZ,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,1975,OC_AWB
Australia_NZ,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,1975,OC_AWB
Australia_NZ,FodderHerb,FodderHerbAEZ01,FodderHerbAEZ01,1975,OC_AWB
Australia_NZ,MiscCrop,MiscCropAEZ01,MiscCropAEZ01,1975,OC_AWB
Australia_NZ,OilCrop,OilCropAEZ01,OilCropAEZ01,1975,OC_AWB
Australia_NZ,OtherGrain,OtherGrainAEZ01,OtherGrainAEZ01,1975,OC_AWB
Australia_NZ,PalmFruit,PalmFruitAEZ01,PalmFruitAEZ01,1975,OC_AWB
Australia_NZ,Rice,RiceAEZ01,RiceAEZ01,1975,OC_AWB
Australia_NZ,Root_Tuber,Root_TuberAEZ01,Root_TuberAEZ01,1975,OC_AWB
Australia_NZ,SugarCrop,SugarCropAEZ01,SugarCropAEZ01,1975,OC_AWB
Australia_NZ,Wheat,WheatAEZ01,WheatAEZ01,1975,OC_AWB
Australia_NZ,Corn,CornAEZ01,CornAEZ01,1975,SO2_3_AWB
Australia_NZ,FiberCrop,FiberCropAEZ01,FiberCropAEZ01,1975,SO2_3_AWB
Australia_NZ,FodderGrass,FodderGrassAEZ01,FodderGrassAEZ01,1975,SO2_3_AWB
Australia_NZ,FodderHerb,FodderHerbAEZ01,FodderHerbAEZ01,1975,SO2_3_AWB
