INPUT_TABLE
Variable ID
AgGDPCtrlSteep

region,AgSupplySector,AgSupplySubsector,AgProductionTechnology,year,Non.CO2,ctrl.name,steepness
Africa_Western,FodderHerb,FodderHerbAEZ01,FodderHerbAEZ01,2010,BC_AWB,GDP_control,60
Australia_NZ,FodderHerb,FodderHerbAEZ01,FodderHerbAEZ01,2010,BC_AWB,GDP_control,60
Brazil,FodderHerb,FodderHerbAEZ01,FodderHerbAEZ01,2010,BC_AWB,GDP_control,60
India,FodderHerb,FodderHerbAEZ01,FodderHerbAEZ01,2010,BC_AWB,GDP_control,60
Mexico,FodderHerb,FodderHerbAEZ01,FodderHerbAEZ01,2010,BC_AWB,GDP_control,60
Middle East,FodderHerb,FodderHerbAEZ01,FodderHerbAEZ01,2010,BC_AWB,GDP_control,60
Pakistan,FodderHerb,FodderHerbAEZ01,FodderHerbAEZ01,2010,BC_AWB,GDP_control,60
South Africa,FodderHerb,FodderHerbAEZ01,FodderHerbAEZ01,2010,BC_AWB,GDP_control,60
South America_Northern,FodderHerb,FodderHerbAEZ01,FodderHerbAEZ01,2010,BC_AWB,GDP_control,60
South America_Southern,FodderHerb,FodderHerbAEZ01,FodderHerbAEZ01,2010,BC_AWB,GDP_control,60
Africa_Eastern,FodderHerb,FodderHerbAEZ01,FodderHerbAEZ01,2010,OC_AWB,GDP_control,60
Africa_Northern,FodderHerb,FodderHerbAEZ01,FodderHerbAEZ01,2010,OC_AWB,GDP_control,60
Africa_Southern,FodderHerb,FodderHerbAEZ01,FodderHerbAEZ01,2010,OC_AWB,GDP_control,60
Africa_Western,FodderHerb,FodderHerbAEZ01,FodderHerbAEZ01,2010,OC_AWB,GDP_control,60
Australia_NZ,FodderHerb,FodderHerbAEZ01,FodderHerbAEZ01,2010,OC_AWB,GDP_control,60
Brazil,FodderHerb,FodderHerbAEZ01,FodderHerbAEZ01,2010,OC_AWB,GDP_control,60
India,FodderHerb,FodderHerbAEZ01,FodderHerbAEZ01,2010,OC_AWB,GDP_control,60
Mexico,FodderHerb,FodderHerbAEZ01,FodderHerbAEZ01,2010,OC_AWB,GDP_control,60
