# File: superwell_groundwater_cost_elec.csv
# Title: Groundwater nonrenewable resource curves with capital costs disaggregated from electricity (pumping) requirements
# Comments: Costs and depth bins are from superwell output. elec_coef = (Specific_weight * mean(TotalHead) / Pump_Efficiency) / 1000 * Annual_Operation_time / 3600 * conv_m3_km3
# Source: Superwell model: https://github.com/JGCRI/superwell
# Units: costs in 1975USD per m3; available in km3; elec_coef in kwh per m3
# Column types: ciccnn
# ----------
Country,GCAM_basin_ID,cost_bin,depth_bin,available,elec_coef
Angola,182,"(0.00673,0.0107]","(150,175]",1.0204755661832183,0.02858056326942019
Angola,182,"(0.0146,0.0195]","(150,175]",2.3835205052588933,0.027997324863831816
Angola,182,"(0.0195,0.0259]","(150,175]",12.553098208935719,0.027988150963536455
Angola,182,"(0.0259,0.0339]","(150,175]",14.05977339507235,0.027803072321916176
Angola,182,"(0.0339,0.0436]","(150,175]",13.891602200127501,0.027632732664126018
Angola,182,"(0.0436,0.0558]","(150,175]",12.726928992072574,0.02774752253748205
Angola,182,"(0.0558,0.0708]","(150,175]",6.630647287479157,0.027639022268058627
Angola,182,"(0.0708,0.0896]","(150,175]",8.851989684570054,0.02780508918331335
Angola,182,"(0.0896,0.112]","(150,175]",4.287614788893851,0.027373943466912003
Angola,182,"(0.112,0.141]","(150,175]",0.8176961019708916,0.027662862691694035
Angola,182,"(0.141,0.174]","(150,175]",1.5339749510239862,0.027799629395768164
Angola,182,"(0.174,0.215]","(150,175]",1.5871150806906524,0.028132893966089787
Angola,182,"(0.215,0.276]","(150,175]",2.7380501963646346,0.027543595779049388
Angola,182,"(0.276,0.373]","(150,175]",7.533866689106695,0.027607083498876
Angola,182,"(0.373,0.532]","(150,175]",2.968481502670597,0.027400596069608287
Angola,182,"(0.532,0.827]","(150,175]",5.2917403588309115,0.028024804068494478
Angola,182,"(0.827,1.53]","(150,175]",0.6537283471159288,0.027582769419540975
Angola,182,"(0.00673,0.0107]","(175,200]",4.245767905373012,0.03258775750770168
Angola,182,"(0.0107,0.0146]","(175,200]",0.1344740365647488,0.0329878790770984
Angola,182,"(0.0146,0.0195]","(175,200]",4.783518517327597,0.03221604029009091
Angola,182,"(0.0195,0.0259]","(175,200]",10.913213967424422,0.0321434729897306
Angola,182,"(0.0259,0.0339]","(175,200]",3.9575883111445194,0.03193441879958072
Angola,182,"(0.0339,0.0436]","(175,200]",5.305671911861896,0.03179172796141784
Angola,182,"(0.0436,0.0558]","(175,200]",6.283439285709474,0.03184071087993472
Angola,182,"(0.0558,0.0708]","(175,200]",2.0049745945707036,0.03149465783755602
Angola,182,"(0.0708,0.0896]","(175,200]",4.275715872370969,0.03164027371785105
Angola,182,"(0.0896,0.112]","(175,200]",1.6233437098355576,0.032178344973428016
Angola,182,"(0.112,0.141]","(175,200]",2.0012045469669983,0.03230585793999984
Angola,182,"(0.141,0.174]","(175,200]",2.6775991881192347,0.03255572666621895
Angola,182,"(0.174,0.215]","(175,200]",3.125703286255873,0.032126032846518646
Angola,182,"(0.215,0.276]","(175,200]",0.7610155781180578,0.031913296045682195
Angola,182,"(0.276,0.373]","(175,200]",4.981657490439946,0.03210969889366208
Angola,182,"(0.373,0.532]","(175,200]",0.5660667655987646,0.0319929282182384
Angola,182,"(0.532,0.827]","(175,200]",1.1589957936808546,0.03127415212548727
Angola,182,"(0.827,1.53]","(175,200]",0.015788952551900718,0.03088446260338009
Angola,182,"(0.00673,0.0107]","(200,225]",7.722250311506892,0.036358702339847664
Angola,182,"(0.0107,0.0146]","(200,225]",1.5677401724842492,0.036940947601949374
Angola,182,"(0.0146,0.0195]","(200,225]",4.917788671235542,0.03670724438600381
Angola,182,"(0.0195,0.0259]","(200,225]",2.4157125316610655,0.03567996902127244
Angola,182,"(0.0259,0.0339]","(200,225]",0.18003312551389186,0.03688952842913722
Angola,182,"(0.0339,0.0436]","(200,225]",3.928486663349758,0.036334495183328715
Angola,182,"(0.0436,0.0558]","(200,225]",1.6595164468671761,0.03626638336401042
Angola,182,"(0.0558,0.0708]","(200,225]",1.8553410202661524,0.03650957363436148
Angola,182,"(0.0708,0.0896]","(200,225]",1.2346302117170342,0.03637895780987028
Angola,182,"(0.0896,0.112]","(200,225]",1.192601867420184,0.03637383812549418
Angola,182,"(0.112,0.141]","(200,225]",0.7815926814134118,0.035918898849879366
Angola,182,"(0.141,0.174]","(200,225]",0.8449196651702019,0.03567199788874126
Angola,182,"(0.174,0.215]","(200,225]",1.4774063586238595,0.036148857345739346
Angola,182,"(0.215,0.276]","(200,225]",0.5198549776035989,0.03607343584245487
Angola,182,"(0.276,0.373]","(200,225]",0.4587787729924835,0.03454751760115384
Angola,182,"(0.373,0.532]","(200,225]",0.5749612098552868,0.0352673690970888
Angola,182,"(0.00673,0.0107]","(225,250]",0.8617397176114373,0.039486490466865316
Angola,182,"(0.0107,0.0146]","(225,250]",4.7938114900201,0.040856818759749156
Angola,182,"(0.0146,0.0195]","(225,250]",0.5557622269418874,0.0403466437075296
Angola,182,"(0.0195,0.0259]","(225,250]",0.27391595075190306,0.04074410534829897
Angola,182,"(0.0259,0.0339]","(225,250]",0.37855906162342506,0.04061902157984683
Angola,182,"(0.0339,0.0436]","(225,250]",0.12631151830518456,0.041054613461489115
Angola,182,"(0.0436,0.0558]","(225,250]",0.6437572306126799,0.04105964582046108
Angola,182,"(0.0558,0.0708]","(225,250]",0.3962382001293907,0.041054613461489115
Angola,182,"(0.0708,0.0896]","(225,250]",0.553689447916243,0.0411776472272648
Angola,182,"(0.0896,0.112]","(225,250]",0.11882148249644539,0.038846478368140806
Angola,182,"(0.112,0.141]","(225,250]",0.04134900227196601,0.04048624051719928
Angola,182,"(0.141,0.174]","(225,250]",0.006501986157916821,0.04077993474015048
Angola,182,"(0.174,0.215]","(225,250]",0.07975146023865179,0.04045017051865776
Angola,182,"(0.215,0.276]","(225,250]",0.06995783357797487,0.04121288470729184
Angola,182,"(0.00673,0.0107]","(250,275]",0.21150916471590636,0.045868721061172804
Angola,182,"(0.0107,0.0146]","(250,275]",10.172370514532256,0.045096163001089415
Angola,182,"(0.0146,0.0195]","(250,275]",0.6533824987540824,0.044931300066938136
Angola,182,"(0.0195,0.0259]","(250,275]",0.0041958273059653425,0.04506469353329161
Angola,182,"(0.0259,0.0339]","(250,275]",0.03298232062814492,0.04300217890627681
Angola,182,"(0.0339,0.0436]","(250,275]",0.009325638625825104,0.0431619201503952
Angola,182,"(0.0436,0.0558]","(250,275]",0.38709764918901024,0.04511610616145639
Angola,182,"(0.0558,0.0708]","(250,275]",0.05498512306259343,0.0431619201503952
Angola,182,"(0.0708,0.0896]","(250,275]",0.8370699558254636,0.04524683150531804
Angola,182,"(0.174,0.215]","(250,275]",0.030122426888736842,0.044505567328878996
Angola,182,"(0.215,0.276]","(250,275]",0.14837977480009826,0.0450390313984296
Angola,182,"(0.00673,0.0107]","(275,300]",0.4230183294318127,0.04959187028098381
Angola,182,"(0.0107,0.0146]","(275,300]",9.895878281620252,0.049450121878351856
Angola,182,"(0.0146,0.0195]","(275,300]",0.1783733701942914,0.049578798070200006
Angola,182,"(0.0195,0.0259]","(275,300]",0.026454286761681142,0.049675931642454596
Angola,182,"(0.0259,0.0339]","(275,300]",7.840033867013315e-4,0.050355866648236804
Angola,182,"(0.0436,0.0558]","(275,300]",0.6948911179899017,0.049577401988261924
Angola,182,"(0.0708,0.0896]","(275,300]",1.8055960872275485,0.0495955932408776
Angola,182,"(0.215,0.276]","(275,300]",0.2566508337081534,0.04953717849998177
Angola,182,"(0.00673,0.0107]","(300,400]",1.3748095706533912,0.054501299088694354
Angola,182,"(0.0107,0.0146]","(300,400]",6.7146487839736135,0.05359139512542615
Angola,182,"(0.0146,0.0195]","(300,400]",1.864814768888339,0.060366686654039464
Angola,182,"(0.0195,0.0259]","(300,400]",0.5419044940674504,0.06001199548121797
Angola,182,"(0.0259,0.0339]","(300,400]",0.014896064347325298,0.05854109814337239
Angola,182,"(0.0436,0.0558]","(300,400]",3.627397382778179,0.05655837988925293
Angola,182,"(0.0708,0.0896]","(300,400]",3.685497980898803,0.05419663154388726
Angola,182,"(0.215,0.276]","(300,400]",0.19655016589612403,0.05251861791047394
Angola,182,"(0.0146,0.0195]","(400,500]",1.1448935970345904,0.07278806478078409
Angola,182,"(0.0195,0.0259]","(400,500]",1.038247495552236,0.07587180402373912
Angola,182,"(4.92e-05,0.00673]","(500,600]",0.4753414788432818,0.09747026466051383
Angola,182,"(0.0195,0.0259]","(500,600]",1.4474080628008525,0.0906947804242802
Angola,182,"(4.92e-05,0.00673]","(600,700]",3.0872627203175744,0.11317711777995648
Angola,182,"(0.00673,0.0107]","(600,700]",0.10125361336762687,0.11443124608347602
Angola,182,"(4.92e-05,0.00673]","(700,800]",2.212546441330117,0.1288716612479604
Angola,182,"(0.00673,0.0107]","(700,800]",0.41790214532898057,0.13045220769648683
Angola,182,"(4.92e-05,0.00673]","(800,900]",1.4873003554843698,0.14098893895029138
Angola,182,"(0.00673,0.0107]","(800,900]",0.49338037497966114,0.1419570111385526
Angola,182,"(4.92e-05,0.00673]","(900,1e+03]",0.04689349953843398,0.1705765469776284
Angola,182,"(4.92e-05,0.00673]",> 1000,12.21726699271255,0.17169600000000002
Angola,183,"(0.373,0.532]","(50,75]",0.13635908117277595,0.012449187307045442
Angola,183,"(0.827,1.53]","(50,75]",0.12996629607567456,0.012331561026714724
Angola,183,"(1.53,5]","(50,75]",0.011501078216294348,0.012331561026714724
Angola,183,"(0.00673,0.0107]","(75,100]",0.08078610481716153,0.01631416883506032
Angola,183,"(0.0107,0.0146]","(75,100]",0.0022935231356215864,0.01710806305989648
Angola,183,"(0.0259,0.0339]","(75,100]",0.8772056794031773,0.016034472532880508
Angola,183,"(0.0339,0.0436]","(75,100]",3.6860805688189835,0.015977414119453148
Angola,183,"(0.0436,0.0558]","(75,100]",3.8237923108091056,0.01611940585579128
Angola,183,"(0.0558,0.0708]","(75,100]",1.5667546943601367,0.01606886499813672
Angola,183,"(0.0708,0.0896]","(75,100]",2.316769716927692,0.016146649373261886
Angola,183,"(0.0896,0.112]","(75,100]",2.3906555852549136,0.01618686157506272
Angola,183,"(0.112,0.141]","(75,100]",1.865000736709096,0.015979964730080287
Angola,183,"(0.141,0.174]","(75,100]",0.7398022921578992,0.016441514482761037
Angola,183,"(0.174,0.215]","(75,100]",1.9303859000081118,0.015956451095291455
Angola,183,"(0.215,0.276]","(75,100]",0.24218550282117382,0.015839273094659094
Angola,183,"(0.276,0.373]","(75,100]",1.1230161753939878,0.015907657064189954
Angola,183,"(0.373,0.532]","(75,100]",7.010981379017939,0.015762513567430535
Angola,183,"(0.532,0.827]","(75,100]",0.058474980734460995,0.015793526434652858
Angola,183,"(0.827,1.53]","(75,100]",4.955385425926627,0.015741227650202624
Angola,183,"(1.53,5]","(75,100]",3.939736652343521,0.01580479181585964
Angola,183,"(0.00673,0.0107]","(100,125]",0.881105796667891,0.019867152772825223
Angola,183,"(0.0107,0.0146]","(100,125]",0.31567390771038695,0.020035649538468484
Angola,183,"(0.0146,0.0195]","(100,125]",0.013358085813248618,0.0203402607846816
Angola,183,"(0.0195,0.0259]","(100,125]",1.2036663168989634,0.020268381500471236
Angola,183,"(0.0259,0.0339]","(100,125]",8.4834991594164,0.019404799374156775
Angola,183,"(0.0339,0.0436]","(100,125]",18.24586804032379,0.01909424457071753
Angola,183,"(0.0436,0.0558]","(100,125]",15.679509426489957,0.01950447517242761
Angola,183,"(0.0558,0.0708]","(100,125]",8.703271744046619,0.019574544275368227
Angola,183,"(0.0708,0.0896]","(100,125]",12.864809657404845,0.019613176626589405
Angola,183,"(0.0896,0.112]","(100,125]",16.66735244925225,0.019641595496094358
